W_um,L_um,t_channel_nm,t_ox_nm,mu_0,N_d,Vth_0,N_it,T,oxide_type,Vds,Vg_start,Vg_end,Vth_extracted,Vth_true,on_off_ratio,log_on_off,SS_mV_dec,mu_eff,I_on,I_off
24.420668746348234,5.727746499350011,63.72919696753524,178.24362534343763,11.34244463416899,6.670455325929221e+16,0.932447029420457,144898020358.59583,331.8469808262296,SiO2,0.1,-5,15,12.718120805369129,0.932447029420457,2843195862.6486645,9.453806778486634,562.1838577076041,0.343126686224506,2.8431958626486648e-06,1e-15
10.695324789217,11.668094490695028,27.873168432229996,114.97444548207386,23.759605619986594,5.952672762653022e+16,2.646445290374817,29768804878.05832,295.006119819504,HfO2,1.0,0,10,9.797979797979798,2.646445290374817,2342799632.501478,9.369735147231204,160.48422304826758,0.46436586325957474,2.3427996325014784e-06,1e-15
27.403911966656946,5.41340059092878,78.1444774950926,127.23031312269025,6.811477338520609,3.1421032357925108e+16,2.1175415859235884,133660407049.09492,297.38760503161075,HfO2,5.0,0,10,2.0202020202020203,2.1175415859235884,4694588145.728692,9.671597497798494,106.46002102690207,0.13738771744592865,4.694588145728693e-06,1e-15
40.859726240822326,17.208192442700767,56.54776313644919,100.47902129243691,17.005135508621528,9.816107824318536e+16,2.3155694317571824,347783170225.2561,330.918559653967,SiO2,2.0,0,10,10.0,2.3155694317571824,1395383518.0287902,9.144693588880031,430.64061689444117,0.5094077281019259,1.3953835180287904e-06,1e-15
28.538268053141664,17.334211092618382,30.803707688269842,142.1916795178082,22.684568895854902,2.0119206802914925e+17,1.423037251793152,58128866103.114204,283.5578209494276,HfO2,10.0,-10,20,1.457286432160803,1.423037251793152,25794771057.660217,10.41153167763146,174.37459661369553,0.3782279877829054,2.579477105766022e-05,1e-15
37.75397244348151,13.359583614982085,43.112668064820625,101.96321947865654,11.164284393996326,1.901715259486683e+16,0.5196215847431067,20839198266.95529,344.424742951867,HfO2,0.5,-5,15,12.046979865771814,0.5196215847431067,24531644746.15173,10.38972666684608,117.68367578977255,0.3837594046148225,2.453164474615173e-05,1e-15
21.702896221334672,8.608140422415653,71.47308113322643,108.19722208553773,7.395676200951717,3.483697771451688e+17,0.30235744990852886,112234438757.47133,340.5560132627066,HfO2,10.0,-5,15,0.36912751677852373,0.30235744990852886,20198816147.345623,10.30532591619208,101.60485430537412,0.2446681980117857,2.0198816147345624e-05,1e-15
18.086052053370558,10.306888429044577,22.593461113909427,182.37451238508345,11.689609011789944,2.8269657509668534e+17,2.6032483470507852,159138802016.73016,314.2061693379362,SiO2,2.0,-20,30,29.59839357429719,2.6032483470507852,4040106776.7919745,9.606392843318217,1382.6353554869786,0.29057003197611436,4.040106776791975e-06,1e-15
48.01902150128132,19.00044887084906,38.75418233583415,178.78661532581359,36.90705017259366,1.2121293032897424e+16,0.14448730740992977,179452962565.46283,283.134583694845,HfO2,5.0,-20,30,29.799196787148595,0.14448730740992977,107819908539.00496,11.032698959091372,184.65261058313865,0.6116101711964952,0.00010781990853900497,1e-15
6.383627304978136,11.670619621031737,22.162495490010787,75.98232850238966,17.042028819095023,3.1889505619998803e+17,0.3612097104033061,334097789100.25934,289.93331288395626,SiO2,10.0,-5,15,0.2348993288590604,0.3612097104033061,1242821442.886376,9.09440873770081,658.1127443941322,0.3109147103008745,1.242821442886376e-06,1e-15
40.52778932941979,16.81633570161859,24.01887874794248,133.16220959939753,19.66904777547993,2.970693447787988e+17,1.960859881095912,336271513708.7712,294.07259575359524,HfO2,2.0,-5,15,15.0,1.960859881095912,14561289557.238708,10.163199838080937,212.50242640769767,0.37964640752444584,1.4561289557238709e-05,1e-15
31.373769086809723,7.6141742263932,34.41974037239386,71.46944083233001,8.766814449568702,4.06951529087593e+17,2.4465177244281433,132595168898.16624,295.24808999226656,SiO2,10.0,0,10,2.4242424242424243,2.4465177244281433,1758479842.535991,9.245137394361484,405.8264218899815,0.1718950872094539,1.7584798425359911e-06,1e-15
34.968333573177446,14.133457128314305,20.678054082945938,135.9730631426629,36.92765344112232,1.2927646892050474e+17,0.06712152046044473,362990016351.6528,309.9980489007582,HfO2,5.0,0,10,0.0,0.06712152046044473,171882.87520222328,5.235232609812983,239.250186856622,0.8730142363484649,2.223815325566095e-05,1.29379690847604e-10
6.433824485890201,8.238478711537304,45.530337234147666,151.45742956416655,5.080564215130915,3.196918020350496e+17,2.957124007529706,20598075774.176136,303.8939496386965,HfO2,10.0,-10,20,2.8140703517587937,2.957124007529706,2773906054.31542,9.443091748452009,141.19112807460547,0.11140755171606685,2.7739060543154202e-06,1e-15
14.58473665124264,11.732913016186341,22.372403846635823,146.46813976889393,27.46755736847714,2.924289028467493e+17,2.547337224700874,19586649891.11542,311.40487836971886,SiO2,10.0,-20,30,2.4899598393574287,2.547337224700874,10706622312.505653,10.029652482745579,1075.1890433554863,0.6604453773669019,1.0706622312505654e-05,1e-15
12.565839141321419,7.2809912566572565,47.52850945512793,66.02579638276092,24.70976252578284,4.5617169329280954e+17,2.6497187030444165,11817373049.372679,322.52427715862575,HfO2,1.0,0,10,9.696969696969697,2.6497187030444165,10924999466.088783,10.03842142441823,93.67921134866315,0.6756188511845858,1.0924999466088783e-05,1e-15
31.94274255878375,9.184133828484017,74.01040153248417,100.26418488658729,12.411415692891325,1.1517725595001942e+17,2.868335021896713,111548852045.20897,311.59737774022585,SiO2,1.0,0,10,9.494949494949495,2.868335021896713,928998882.627437,8.968015191637312,299.55312425700623,0.2991151190357531,9.289988826274371e-07,1e-15
